SEASON,NAME,CLASS,CODE,URL,DUST,RATING,UPLOADER,DATE,FORMAT,TYPE,STYLE
52,DrBoom’s #39 Legend Even Shaman – July 2018,Shaman,AAEBAaoIBiD+BcAHps4Cp+4CzfQCDL0B0wGZAtwClgbZB/AHkcECm8sClugClO8CsPACAA==,https://www.hearthstonetopdecks.com/decks/drbooms-39-legend-even-shaman-july-2018/,7720,27,Evident,"July 15, 2018",Raven,Midrange,Ladder
52,Zetalot’s Tempo Priest – July 2018,Priest,AAEBAa0GBNMK1grRwQKQ0wINoQTlBPIM+wzDwQKrwgLKywLOzALR4QK/5QLL5gLS7ALq9wIA,https://www.hearthstonetopdecks.com/decks/zetalots-tempo-priest-july-2018/,3380,41,Zetalot,"July 19, 2018",Raven,Tempo,Ladder
52,Uberer’s #81 Legend Heal Zoolock – July 2018,Warlock,AAEBAf0GAp/CApziAg4whAH3BM4HwgjVCPcMm8sC980Cn84C8tAC0eEC2OUCh+gCAA==,https://www.hearthstonetopdecks.com/decks/uberers-81-legend-heal-zoolock-july-2018/,3300,11,Evident,"July 15, 2018",Raven,Aggro,Ladder
52,Zorkthar’s #38 Legend Midrange Hunter – July 2018,Hunter,AAEBAR8ChtMCgPMCDqgCtQOHBOsHlwjbCf4M68ICjsMCncwC3dIC39IC49ICi+UCAA==,https://www.hearthstonetopdecks.com/decks/zorkthars-38-legend-midrange-hunter-july-2018/,4480,14,Zorkthar,"July 15, 2018",Raven,Midrange,Ladder
52,CptnKitty’s #46 Legend Odd Rogue – July 2018,Rogue,AAEBAaIHBMgDrwT1BZ74Ag2MAssD1AXdCIHCAp/CAuvCAsrLAtHhAovlAv3qAqbvAsf4AgA=,https://www.hearthstonetopdecks.com/decks/cptnkittys-46-legend-odd-rogue-july-2018/,7480,6,Evident,"July 15, 2018",Raven,Aggro,Ladder
52,Jakattack’s #9 Legend Shudderwock Shaman – July 2018,Shaman,AAEBAaoICNPFAp3HApziAqvnAsPqAqfuAp7wAu/3AguBBPUE3gX+BbIG+wyXwQLHwQKbywLz5wLv8QIA,https://www.hearthstonetopdecks.com/decks/jakattacks-9-legend-shudderwock-shaman-july-2018/,12640,9,Evident,"July 15, 2018",Raven,Combo,Ladder
52,Doyahhoi’s #13 Legend Togwaggle Druid – July 2018,Druid,AAEBAZICBv4BmdMCm+gC/esCmu4Cv/ICDEBf6QHEBuQIoM0Ch84ClNICmNICntIC29MChOYCAA==,https://www.hearthstonetopdecks.com/decks/doyahhois-13-legend-togwaggle-druid-july-2018/,9760,0,Evident,"July 15, 2018",Raven,Mill,Ladder
52,Tweeg’s #5 Legend Spiteful Smith Odd Rogue – July 2018,Rogue,AAEBAaIHBD2vBMrLAp74Ag2MAssD1AX1Bd0IgcICn8IC68IC0eECi+UC/eoCpu8Cx/gCAA==,https://www.hearthstonetopdecks.com/decks/tweegs-5-legend-spiteful-smith-odd-rogue-july-2018/,5920,30,Evident,"July 21, 2018",Raven,Aggro,Ladder
52,Paperninja’s Odd Hunter – July 2018,Hunter,AAEBAR8EogKvBN4EnvgCDaECqAK1A54F2wn+DJfBAt3CAuvCAtfNApXOAuHjAovlAgA=,https://www.hearthstonetopdecks.com/decks/paperninjas-odd-hunter-july-2018/,4080,-4,Evident,"July 23, 2018",Raven,Aggro,Ladder
52,Swidz’s #88 Legend Egg Warrior – July 2018,Warrior,AAEBAQcEkAPJwgLCzgKf0wINS5MEogSRBv8H+wybwgKrwgK+wwLMzQKL4QLP5wKb8wIA,https://www.hearthstonetopdecks.com/decks/swidzs-88-legend-egg-warrior-july-2018/,8960,9,Swidz,"July 22, 2018",Raven,Control,Ladder
